No,Stock Name,Valuation (100M KRW),Asset Class Weight (%),Ownership (%)
1162,SJM,0,0.0,0.07
466,한중엔시에스,63,0.0,2.96
773,우리기술투자,12,0.0,0.2
1177,대교우B,0,0.0,0.07
149,팬오션,1198,0.09,6.79
147,한화,1205,0.09,5.98
578,대양전기공업,33,0.0,2.72
335,동성화인텍,206,0.01,4.6
177,에이비엘바이오,896,0.06,6.21
1016,대한화섬,3,0.0,0.19
502,삼영무역,51,0.0,2.15
1083,조비,1,0.0,0.24
938,한양디지텍,5,0.0,0.35
843,CJ프레시웨이,8,0.0,0.39
1039,동원개발,2,0.0,0.09
34,KT,8583,0.62,7.76
792,덕우전자,11,0.0,1.41
744,서울가스,14,0.0,0.55
1182,IHQ,0,0.0,0.02
375,삼양사,136,0.01,2.77
963,한양증권,4,0.0,0.27
306,진에어,252,0.02,5.01
628,하이젠알앤엠,24,0.0,0.59
8,셀트리온,27624,2.0,6.79
398,E1,110,0.01,2.34
602,KISCO홀딩스,28,0.0,0.88
648,사람인,22,0.0,1.06
229,SK리츠,508,0.04,4.2
949,코아시아,4,0.0,0.43
253,현대차우,403,0.03,1.11
592,효성ITX,31,0.0,2.19
921,한스바이오메드,5,0.0,0.45
1115,LK삼양,1,0.0,0.07
86,삼성카드,2749,0.2,6.01
349,이수스페셜티케미컬,182,0.01,1.91
811,지니언스,10,0.0,1.13
588,HS효성,32,0.0,2.85
254,대한유화,403,0.03,7.99
117,카카오페이,1846,0.13,5.22
1190,성보화학,0,0.0,0.01
922,한국화장품,5,0.0,0.53
270,아이에스동서,355,0.03,5.62
284,LG전자우,304,0.02,4.29
612,남해화학,26,0.0,0.86
294,아시아나항공,276,0.02,1.29
944,화천기계,5,0.0,0.8
469,한국쉘석유,62,0.0,1.51
160,한솔케미칼,1101,0.08,10.01
1111,지엔씨에너지,1,0.0,0.07
526,에코프로에이치엔,43,0.0,0.63
979,서울옥션,3,0.0,0.29
568,코리아써키트,35,0.0,1.64
1151,동남합성,1,0.0,0.05
93,한진칼,2407,0.17,4.78
461,피엔에이치테크,65,0.0,8.36
609,에프에스티,27,0.0,0.78
358,컴투스,166,0.01,2.8
900,포스코엠텍,6,0.0,0.12
584,고려제강,32,0.0,0.72
553,F&F홀딩스,38,0.0,0.8
189,롯데웰푸드,762,0.06,7.24
698,큐알티,17,0.0,1.18
109,한올바이오파마,2075,0.15,10.27
332,한글과컴퓨터,207,0.02,4.06
113,한화엔진,1953,0.14,12.7
581,HJ중공업,33,0.0,0.66
330,드림텍,216,0.02,4.32
873,하이딥,7,0.0,0.73
369,LX하우시스,147,0.01,5.15
1126,대호에이엘,1,0.0,0.09
701,흥아해운,17,0.0,0.43
1118,DSR제강,1,0.0,0.17
304,명신산업,255,0.02,4.71
796,서연,10,0.0,0.65
135,HDC현대산업개발,1464,0.11,12.31
406,아이패밀리에스씨,105,0.01,3.26
402,가온칩스,109,0.01,2.41
138,이수페타시스,1401,0.1,8.09
1044,남광토건,2,0.0,0.24
805,엘티씨,10,0.0,1.14
817,그린플러스,9,0.0,1.18
10,신한지주,20547,1.49,8.56
1082,인터지스,1,0.0,0.18
1108,동양피스톤,1,0.0,0.17
174,휴젤,924,0.07,2.61
715,KG모빌리언스,16,0.0,0.86
946,삼성제약,5,0.0,0.31
425,아세아,89,0.01,1.68
433,풍산홀딩스,80,0.01,2.15
915,필에너지,6,0.0,0.2
1065,파세코,1,0.0,0.16
308,레인보우로보틱스,246,0.02,0.78
451,넥스틴,70,0.01,1.31
481,삼진제약,59,0.0,2.36
630,무림P&P,24,0.0,1.35
764,동아지질,12,0.0,0.65
804,한국석유,10,0.0,0.58
262,GS피앤엘,379,0.03,8.61
674,케이엔제이,19,0.0,1.78
88,GS,2691,0.2,7.37
887,사조동아원,6,0.0,0.47
1165,잉글우드랩,0,0.0,0.02
158,에스엘,1133,0.08,8.1
155,GS리테일,1153,0.08,8.36
546,KSS해운,40,0.0,1.96
901,뉴트리,6,0.0,1.16
415,미코,99,0.01,3.69
760,조선내화,12,0.0,0.65
530,콜마홀딩스,42,0.0,1.84
279,대한해운,315,0.02,5.86
660,케이엠더블유,21,0.0,0.59
1046,이글루,2,0.0,0.32
1124,만호제강,1,0.0,0.07
919,두올,5,0.0,0.55
81,LG이노텍,3307,0.24,8.62
865,제주은행,7,0.0,0.27
727,유진투자증권,15,0.0,0.63
1050,유화증권,2,0.0,0.15
779,삼화페인트,11,0.0,0.68
495,CJ4우(전환),54,0.0,1.62
519,한일홀딩스,47,0.0,1.08
100,금호석유,2227,0.16,8.99
1007,유진로봇,3,0.0,0.12
668,호전실업,20,0.0,2.63
9,KB금융,27405,1.99,8.4
1089,문배철강,1,0.0,0.26
365,아세아시멘트,152,0.01,3.9
879,이랜텍,7,0.0,0.52
970,에이에스텍,4,0.0,0.35
1178,코아스템켐온,0,0.0,0.02
14,하나금융지주,15081,1.09,9.25
380,신영증권,127,0.01,1.02
1069,SH에너지화학,1,0.0,0.24
1062,동일산업,2,0.0,0.16
1043,브랜드엑스코퍼레이션,2,0.0,0.1
477,파인엠텍,61,0.0,3.11
675,신풍제약,19,0.0,0.35
484,엠앤씨솔루션,59,0.0,1.5
267,솔브레인,365,0.03,2.84
470,한국철강,62,0.0,1.74
741,디와이,14,0.0,1.35
396,감성코퍼레이션,112,0.01,3.97
1020,DRB동일,3,0.0,0.32
600,한국자산신탁,29,0.0,0.83
987,네온테크,3,0.0,0.28
733,노바렉스,14,0.0,1.02
405,골프존,106,0.01,2.58
1119,태웅로직스,1,0.0,0.08
1000,유니드비티플러스,3,0.0,0.8
931,신일전자,5,0.0,0.48
511,효성화학,49,0.0,3.27
606,아난티,27,0.0,0.58
364,SNT다이내믹스,153,0.01,2.46
1161,쌍방울,0,0.0,0.04
500,에스에이엠티,52,0.0,2.0
413,AP시스템,100,0.01,4.13
471,케이아이엔엑스,62,0.0,1.66
236,세아베스틸지주,470,0.03,6.64
787,비엠티,11,0.0,1.64
1030,솔루스첨단소재1우,2,0.0,0.71
344,SK디스커버리,187,0.01,2.56
106,현대건설,2119,0.15,7.49
47,기업은행,6215,0.45,5.43
51,SK바이오팜,5720,0.41,6.58
340,나노신소재,196,0.01,2.77
163,현대백화점,1070,0.08,10.01
1071,코스텍시스,1,0.0,0.36
841,이지스밸류리츠,8,0.0,0.37
217,에스티팜,605,0.04,3.38
167,에코프로비엠,1019,0.07,0.95
1092,세원정공,1,0.0,0.17
586,와이씨,32,0.0,0.38
54,삼성증권,5191,0.38,13.37
767,흥국화재,12,0.0,0.5
29,한국전력,9662,0.7,7.5
840,일신석재,8,0.0,0.5
300,CJ CGV,262,0.02,2.99
337,넥슨게임즈,199,0.01,2.26
993,인벤티지랩,3,0.0,0.15
513,이엔에프테크놀로지,49,0.0,2.03
215,DN오토모티브,609,0.04,5.63
629,컨텍,24,0.0,1.62
585,신흥에스이씨,32,0.0,1.61
761,로보티즈,12,0.0,0.39
273,화승엔터프라이즈,344,0.02,6.56
753,LG헬로비전,13,0.0,0.68
7,NAVER,28134,2.04,8.94
853,KCTC,8,0.0,0.65
238,다우기술,457,0.03,5.71
782,신라교역,11,0.0,0.75
131,롯데케미칼,1488,0.11,5.82
188,현대위아,784,0.06,7.63
816,경방,10,0.0,0.55
575,휴온스,34,0.0,1.05
444,디와이파워,73,0.01,5.94
800,노바텍,10,0.0,0.64
1091,한국제지,1,0.0,0.08
377,하나마이크론,129,0.01,2.11
